[Tue Aug 01 18:37:33.147193 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Attach interpreter ''.
[Tue Aug 01 18:37:46.171626 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Shutdown requested 'LAMPDots'.
[Tue Aug 01 18:37:46.180998 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Stopping process 'LAMPDots'.
[Tue Aug 01 18:37:46.181493 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Destroying interpreters.
[Tue Aug 01 18:37:46.181597 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Cleanup interpreter ''.
[Tue Aug 01 18:37:46.183362 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Terminating Python.
[Tue Aug 01 18:37:46.185074 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Python has shutdown.
[Tue Aug 01 18:37:47.259377 2017] [:info] [pid 10040:tid 140361673566080] mod_wsgi (pid=10040): Attach interpreter ''.
[Tue Aug 01 18:39:07.887859 2017] [authz_core:debug] [pid 10042:tid 140361393460992] mod_authz_core.c(802): [client 10.0.2.2:64693] AH01626: authorization result of Require all granted: granted
[Tue Aug 01 18:39:07.888066 2017] [authz_core:debug] [pid 10042:tid 140361393460992] mod_authz_core.c(802): [client 10.0.2.2:64693] AH01626: authorization result of <RequireAny>: granted
[Tue Aug 01 18:39:07.947810 2017] [deflate:debug] [pid 10042:tid 140361393460992] mod_deflate.c(849): [client 10.0.2.2:64693] AH01384: Zlib: Compressed 333 to 209 : URL /index.html
[Tue Aug 01 18:39:08.282696 2017] [authz_core:debug] [pid 10042:tid 140361385068288] mod_authz_core.c(802): [client 10.0.2.2:64693] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:08.282848 2017] [authz_core:debug] [pid 10042:tid 140361385068288] mod_authz_core.c(802): [client 10.0.2.2:64693] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:08.308969 2017] [authz_core:debug] [pid 10041:tid 140361468995328] mod_authz_core.c(802): [client 10.0.2.2:64694] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:08.309440 2017] [deflate:debug] [pid 10042:tid 140361385068288] mod_deflate.c(849): [client 10.0.2.2:64693] AH01384: Zlib: Compressed 4253 to 1445 : URL /static/lampdots.js, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:08.309618 2017] [authz_core:debug] [pid 10041:tid 140361468995328] mod_authz_core.c(802): [client 10.0.2.2:64694] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:08.327459 2017] [deflate:debug] [pid 10041:tid 140361468995328] mod_deflate.c(849): [client 10.0.2.2:64694] AH01384: Zlib: Compressed 234 to 143 : URL /static/lampdots.css, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:08.493670 2017] [authz_core:debug] [pid 10042:tid 140361376675584] mod_authz_core.c(802): [client 10.0.2.2:64693] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:08.493824 2017] [authz_core:debug] [pid 10042:tid 140361376675584] mod_authz_core.c(802): [client 10.0.2.2:64693] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:08.534751 2017] [authz_core:debug] [pid 10042:tid 140361376675584] mod_authz_core.c(802): [client 10.0.2.2:64693] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:08.534838 2017] [authz_core:debug] [pid 10042:tid 140361376675584] mod_authz_core.c(802): [client 10.0.2.2:64693] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:08.543627 2017] [:info] [pid 10042:tid 140361376675584] [client 10.0.2.2:64693] mod_wsgi (pid=10042, process='', application='localhost:8080|/site'): Loading WSGI script '/var/www/LAMPDots/LAMPDots/__init__.wsgi'., referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:32.331526 2017] [authz_core:debug] [pid 10041:tid 140361460602624] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:32.337261 2017] [authz_core:debug] [pid 10041:tid 140361460602624] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
